time,name,section,number,nrc,vacancies
2021-01-22 06:54:00.037282+00:00,"Investigación, Innovación y Emprendimiento",1,ING2030,15385,"[['Vacantes libres', '0', '0', '0'], ['Ingeniería', '55', '0', '55']]"
2021-01-22 06:54:00.074407+00:00,"Investigación, Innovación y Emprendimiento",2,ING2030,15388,"[['Vacantes libres', '0', '0', '0'], ['Ingeniería', '60', '0', '60']]"
2021-01-22 06:54:00.114641+00:00,"Investigación, Innovación y Emprendimiento",3,ING2030,15390,"[['Vacantes libres', '0', '0', '0'], ['Ingeniería', '60', '0', '60']]"
2021-01-22 06:54:00.147545+00:00,"Investigación, Innovación y Emprendimiento",4,ING2030,15391,"[['Vacantes libres', '0', '0', '0'], ['Ingeniería', '60', '0', '60']]"
2021-01-22 06:54:00.172710+00:00,"Investigación, Innovación y Emprendimiento",5,ING2030,15392,"[['Vacantes libres', '0', '0', '0'], ['Ingeniería', '60', '0', '60']]"
2021-01-22 06:54:00.200741+00:00,"Investigación, Innovación y Emprendimiento",6,ING2030,16268,"[['Vacantes libres', '0', '0', '0'], ['Ingeniería', '60', '0', '60']]"
2021-01-22 06:54:00.228987+00:00,"Investigación, Innovación y Emprendimiento",7,ING2030,16271,"[['Vacantes libres', '0', '0', '0'], ['Ingeniería', '55', '0', '55']]"
2021-01-22 06:54:00.427142+00:00,Optimización,1,ICS1113,14598,"[['Vacantes libres', '110', '0', '110'], ['Lic. Generales (College)', '20', '0', '20']]"
2021-01-22 06:54:00.458042+00:00,Optimización,2,ICS1113,14608,"[['Vacantes libres', '110', '0', '110'], ['Lic. Generales (College)', '20', '0', '20']]"
2021-01-22 06:54:00.488033+00:00,Optimización,3,ICS1113,14601,"[['Vacantes libres', '160', '0', '160'], ['Lic. Generales (College)', '20', '0', '20']]"
2021-01-22 06:54:00.516343+00:00,Optimización,4,ICS1113,17539,"[['Vacantes libres', '70', '0', '70'], ['Lic. Generales (College)', '10', '0', '10']]"
2021-01-22 06:54:00.548795+00:00,Optimización,5,ICS1113,20276,"[['Vacantes libres', '70', '0', '70'], ['Lic. Generales (College)', '10', '0', '10']]"
2021-01-22 06:54:00.581630+00:00,Matemáticas Discretas,1,IIC1253,10706,"[['Vacantes libres', '25', '0', '25'], ['Ingeniería', '75', '0', '75']]"
2021-01-22 06:54:00.614925+00:00,Matemáticas Discretas,2,IIC1253,20789,"[['Vacantes libres', '25', '0', '25'], ['Ingeniería', '75', '0', '75']]"
2021-01-22 06:54:00.649086+00:00,Matemáticas Discretas,3,IIC1253,25307,"[['Vacantes libres', '20', '0', '20'], ['Ingeniería', '80', '0', '80']]"
2021-01-22 06:54:00.880132+00:00,Fisicoquímica,1,IIQ2043,11000,"[['Vacantes libres', '90', '0', '90']]"
2021-01-22 06:54:01.090298+00:00,Mecánica de Sólidos,1,ICE2313,13475,"[['Vacantes libres', '120', '0', '120']]"
2021-01-22 06:54:01.124822+00:00,Teoría de Integración,1,MAT253I,14892,"[['Vacantes libres', '0', '0', '0'], ['Ingeniería', '25', '0', '25']]"
2021-01-22 06:54:01.167098+00:00,Bioquímica y Genética Molecular,1,BIO228C,12812,"[['Vacantes libres', '0', '0', '0'], ['Pedagogía en Educación Media en Ciencias Naturales y Biología', '30', '0', '30'], ['Biologia Marina', '25', '0', '25'], ['Ciencias Biologicas', '50', '0', '50'], ['Ingeniería', '20', '0', '20'], ['Lic. Generales (College)', '5', '0', '5']]"
2021-01-22 06:54:01.202287+00:00,Modelos Estocásticos,1,ICS2123,16515,"[['Vacantes libres', '0', '0', '0'], ['Ingeniería', '160', '0', '160'], ['Lic. Generales (College)', '20', '0', '20']]"
2021-01-22 06:54:01.243399+00:00,Modelos Estocásticos,2,ICS2123,14634,"[['Vacantes libres', '0', '0', '0'], ['Ingeniería', '80', '0', '80'], ['Lic. Generales (College)', '10', '0', '10']]"
2021-01-22 06:54:01.281154+00:00,Modelos Estocásticos,3,ICS2123,16514,"[['Vacantes libres', '0', '0', '0'], ['Ingeniería', '110', '0', '110'], ['Lic. Generales (College)', '15', '0', '15']]"
2021-01-22 06:54:01.496386+00:00,El Padrenuestro: la Oracion que Jesus Enseno,1,TTF039,20857,"[['Vacantes libres', '60', '0', '60']]"
2021-01-22 06:54:01.848635+00:00,El Padrenuestro: la Oracion que Jesus Enseno,2,TTF039,23788,"[['Vacantes libres', '60', '3', '57']]"
2021-01-22 06:54:02.058611+00:00,Doctrina Social de la Iglesia,1,TTF040,20848,"[['Vacantes libres', '60', '2', '58']]"
2021-01-22 06:54:02.429333+00:00,Doctrina Social de la Iglesia,2,TTF040,20849,"[['Vacantes libres', '60', '0', '60']]"
2021-01-22 06:54:02.471431+00:00,Doctrina Social de la Iglesia,3,TTF040,20881,"[['Vacantes libres', '0', '0', '0'], ['Educación', '205001-Formacion Pedagogica Para Licenciados', '60', '0', '60']]"
2021-01-22 06:54:02.511677+00:00,Electricidad y Magnetismo,1,FIS1533,19863,"[['Vacantes libres', '0', '0', '0'], ['Ingeniería', '90', '0', '90'], ['Lic. Generales (College)', '25', '0', '25']]"
2021-01-22 06:54:02.551581+00:00,Electricidad y Magnetismo,2,FIS1533,14950,"[['Vacantes libres', '0', '0', '0'], ['Ingeniería', '90', '0', '90'], ['Lic. Generales (College)', '25', '0', '25']]"
2021-01-22 06:54:02.592149+00:00,Electricidad y Magnetismo,3,FIS1533,14500,"[['Vacantes libres', '0', '0', '0'], ['Ingeniería', '90', '0', '90'], ['Lic. Generales (College)', '25', '0', '25']]"
2021-01-22 06:54:02.630583+00:00,Electricidad y Magnetismo,4,FIS1533,14509,"[['Vacantes libres', '0', '0', '0'], ['Ingeniería', '90', '0', '90'], ['Lic. Generales (College)', '25', '0', '25']]"
2021-01-22 06:54:02.660985+00:00,Programación Avanzada,1,IIC2233,10760,"[['Vacantes libres', '20', '0', '20'], ['Ingeniería', '90', '0', '90']]"
2021-01-22 06:54:02.691080+00:00,Programación Avanzada,2,IIC2233,10754,"[['Vacantes libres', '10', '0', '10'], ['Ingeniería', '90', '0', '90'], ['Matemática', '10', '0', '10']]"
2021-01-22 06:54:02.728016+00:00,Programación Avanzada,3,IIC2233,18284,"[['Vacantes libres', '20', '0', '20'], ['Ingeniería', '90', '0', '90']]"
2021-01-22 06:54:02.765354+00:00,Programación Avanzada,4,IIC2233,22154,"[['Vacantes libres', '20', '0', '20'], ['Ingeniería', '90', '0', '90']]"
2021-01-22 06:54:02.802770+00:00,Análisis Químico y Bioquímico en los Peritajes Forenses,1,QIM512,25255,"[['Vacantes libres', '0', '0', '0'], ['Química', '40', '0', '40'], ['Ciencias Biológicas', '10', '0', '10']]"
2021-01-22 06:54:02.849157+00:00,Computación: Ciencia y Tecnología del Mundo Digital,1,IIC1005,10626,"[['Vacantes libres', '17', '0', '17'], ['Provisional Convenio PUC', '3', '0', '3'], ['Ingeniería', '120', '0', '120']]"
2021-01-22 06:54:02.890699+00:00,Probabilidades y Estadística,1,EYP1113,10541,"[['Vacantes libres', '0', '0', '0'], ['Ingeniería', '100', '0', '100'], ['Lic. Generales (College)', '25', '0', '25'], ['Actividades Universitarias', '1', '0', '1']]"
2021-01-22 06:54:02.929057+00:00,Probabilidades y Estadística,2,EYP1113,10527,"[['Vacantes libres', '0', '0', '0'], ['Ingeniería', '100', '0', '100'], ['Lic. Generales (College)', '25', '0', '25'], ['Actividades Universitarias', '1', '0', '1']]"
2021-01-22 06:54:02.968403+00:00,Probabilidades y Estadística,3,EYP1113,10514,"[['Vacantes libres', '0', '0', '0'], ['Ingeniería', '100', '1', '99'], ['Lic. Generales (College)', '25', '0', '25'], ['Actividades Universitarias', '1', '0', '1']]"
2021-01-22 06:54:03.002659+00:00,Probabilidades y Estadística,4,EYP1113,10500,"[['Vacantes libres', '0', '0', '0'], ['Ingeniería', '100', '0', '100'], ['Lic. Generales (College)', '25', '0', '25'], ['Actividades Universitarias', '1', '0', '1']]"
2021-01-22 06:54:03.042410+00:00,Ecuaciones Diferenciales,1,MAT1640,14883,"[['Vacantes libres', '1', '0', '1'], ['Ingeniería', '119', '0', '119'], ['Lic. Generales (College)', '30', '0', '30'], ['Educación', '15', '0', '15'], ['Actividades Universitarias', '1', '0', '1']]"
2021-01-22 06:54:03.079412+00:00,Ecuaciones Diferenciales,2,MAT1640,14959,"[['Vacantes libres', '1', '0', '1'], ['Ingeniería', '134', '0', '134'], ['Lic. Generales (College)', '30', '0', '30'], ['Actividades Universitarias', '1', '0', '1']]"
2021-01-22 06:54:03.113381+00:00,Ecuaciones Diferenciales,3,MAT1640,14888,"[['Vacantes libres', '1', '0', '1'], ['Ingeniería', '134', '0', '134'], ['Lic. Generales (College)', '30', '0', '30'], ['Actividades Universitarias', '1', '0', '1']]"
2021-01-22 06:54:03.150952+00:00,Ecuaciones Diferenciales,4,MAT1640,14851,"[['Vacantes libres', '1', '0', '1'], ['Astrofísica', '15', '0', '15'], ['Física', '15', '0', '15'], ['Ingeniería', '134', '0', '134'], ['Actividades Universitarias', '1', '0', '1']]"
2021-01-22 06:54:03.192626+00:00,Ecuaciones Diferenciales,5,MAT1640,14958,"[['Vacantes libres', '1', '0', '1'], ['Astrofísica', '15', '0', '15'], ['Física', '15', '0', '15'], ['Ingeniería', '134', '0', '134'], ['Actividades Universitarias', '1', '0', '1']]"
2021-01-22 06:54:03.607622+00:00,Liderazgo: Juegos y Recreación I,1,DPT9030,12874,"[['Vacantes libres', '30', '0', '30']]"
2021-01-22 06:54:03.818682+00:00,Liderazgo: Juegos y Recreación I,3,DPT9030,19010,"[['Vacantes libres', '30', '0', '30']]"
2021-01-22 06:54:04.196667+00:00,Liderazgo: Juegos y Recreación I,4,DPT9030,19011,"[['Vacantes libres', '40', '0', '40']]"
2021-01-22 06:54:04.390238+00:00,Estática,1,ICE2006,22841,"[['Vacantes libres', '120', '0', '120']]"
2021-01-22 06:54:04.420781+00:00,Desafíos Sociales Contemporáneos,1,SOL227,25065,"[['Vacantes libres', '90', '0', '90'], ['Actividades Universitarias', '5', '0', '5']]"
2021-01-22 06:54:04.451416+00:00,Design Bootcamp: Herramientas y Métodos Prácticos para Innovar,1,DNO048,12072,"[['Vacantes libres', '15', '0', '15'], ['Ingeniería', '3', '0', '3'], ['Lic. Generales (College)', '5', '0', '5'], ['Diseño', '12', '0', '12'], ['Actividades Universitarias', '2', '0', '2']]"
2021-01-22 06:54:04.487363+00:00,Introduccion a la Tipografia,1,DNO002,11616,"[['Vacantes libres', '6', '0', '6'], ['Lic. Generales (College)', '2', '0', '2'], ['Diseño', '23', '0', '23'], ['Actividades Universitarias', '2', '0', '2']]"
2021-01-22 06:54:04.529050+00:00,El Mundo de los Medicamentos,1,QIF117,12172,"[['Vacantes libres', '0', '0', '0'], ['Quimica Y Farmacia', '10', '0', '10'], ['Química', 'Per 202120 Quimica Y Farmacia', '202120', '105', '1', '104']]"
2021-01-22 06:54:04.565919+00:00,El Mundo de los Medicamentos,2,QIF117,12179,"[['Vacantes libres', '0', '0', '0'], ['Vacantes libres', 'M028-Major en Ciencias Farmacéuticas', '3', '0', '3'], ['Pedagogia General Basica', '15', '0', '15'], ['Pedagogía en Educación Media en Química', '5', '1', '4'], ['Educación', 'Per 202120 Pedagogía en Educación Media en Química', '202120', '20', '0', '20']]"
2021-01-22 06:54:04.605030+00:00,Introducción al Diseño de Servicios,1,DNO053,15178,"[['Vacantes libres', '8', '0', '8'], ['Diseño', '22', '0', '22'], ['Diseño', 'Magister', '2', '0', '2'], ['Actividades Universitarias', '000312-Provisional Convenio PUC-DUOC UC', '2', '0', '2'], ['Actividades Universitarias', '2', '0', '2']]"
2021-01-22 06:54:04.643423+00:00,Sustentabilidad Corporativa y Relación Con las Comunidades,1,DER102E,25388,"[['Vacantes libres', '57', '0', '57'], ['Actividades Universitarias', '3', '0', '3']]"
2021-01-22 06:54:04.681323+00:00,Historia de Género en Chile,1,IHI2323,17351,"[['Vacantes libres', '40', '0', '40'], ['Lic. Generales (College)', '5', '0', '5'], ['Psicología', '2', '0', '2'], ['Historia', '20', '0', '20'], ['Actividades Universitarias', '3', '0', '3']]"
2021-01-22 06:54:04.955611+00:00,Esencia y Protección de los Derechos Humanos,1,DER106E,25472,"[['Vacantes libres', '60', '0', '60']]"
2021-01-22 06:55:00.038201+00:00,"Investigación, Innovación y Emprendimiento",1,ING2030,15385,"[['Vacantes libres', '0', '0', '0'], ['Ingeniería', '55', '0', '55']]"
2021-01-22 06:55:00.073757+00:00,"Investigación, Innovación y Emprendimiento",2,ING2030,15388,"[['Vacantes libres', '0', '0', '0'], ['Ingeniería', '60', '0', '60']]"
2021-01-22 06:55:00.108226+00:00,"Investigación, Innovación y Emprendimiento",3,ING2030,15390,"[['Vacantes libres', '0', '0', '0'], ['Ingeniería', '60', '0', '60']]"
2021-01-22 06:55:00.141980+00:00,"Investigación, Innovación y Emprendimiento",4,ING2030,15391,"[['Vacantes libres', '0', '0', '0'], ['Ingeniería', '60', '0', '60']]"
2021-01-22 06:55:00.181189+00:00,"Investigación, Innovación y Emprendimiento",5,ING2030,15392,"[['Vacantes libres', '0', '0', '0'], ['Ingeniería', '60', '0', '60']]"
2021-01-22 06:55:00.210114+00:00,"Investigación, Innovación y Emprendimiento",6,ING2030,16268,"[['Vacantes libres', '0', '0', '0'], ['Ingeniería', '60', '0', '60']]"
2021-01-22 06:55:00.238197+00:00,"Investigación, Innovación y Emprendimiento",7,ING2030,16271,"[['Vacantes libres', '0', '0', '0'], ['Ingeniería', '55', '0', '55']]"
2021-01-22 06:55:00.266350+00:00,Optimización,1,ICS1113,14598,"[['Vacantes libres', '110', '0', '110'], ['Lic. Generales (College)', '20', '0', '20']]"
2021-01-22 06:55:00.298532+00:00,Optimización,2,ICS1113,14608,"[['Vacantes libres', '110', '0', '110'], ['Lic. Generales (College)', '20', '0', '20']]"
2021-01-22 06:55:00.326744+00:00,Optimización,3,ICS1113,14601,"[['Vacantes libres', '160', '0', '160'], ['Lic. Generales (College)', '20', '0', '20']]"
2021-01-22 06:55:00.356768+00:00,Optimización,4,ICS1113,17539,"[['Vacantes libres', '70', '0', '70'], ['Lic. Generales (College)', '10', '0', '10']]"
2021-01-22 06:55:00.384226+00:00,Optimización,5,ICS1113,20276,"[['Vacantes libres', '70', '0', '70'], ['Lic. Generales (College)', '10', '0', '10']]"
2021-01-22 06:55:00.412935+00:00,Matemáticas Discretas,1,IIC1253,10706,"[['Vacantes libres', '25', '0', '25'], ['Ingeniería', '75', '0', '75']]"
2021-01-22 06:55:00.440592+00:00,Matemáticas Discretas,2,IIC1253,20789,"[['Vacantes libres', '25', '0', '25'], ['Ingeniería', '75', '0', '75']]"
2021-01-22 06:55:00.468270+00:00,Matemáticas Discretas,3,IIC1253,25307,"[['Vacantes libres', '20', '0', '20'], ['Ingeniería', '80', '0', '80']]"
2021-01-22 06:55:00.671777+00:00,Fisicoquímica,1,IIQ2043,11000,"[['Vacantes libres', '90', '0', '90']]"
2021-01-22 06:55:00.921372+00:00,Mecánica de Sólidos,1,ICE2313,13475,"[['Vacantes libres', '120', '0', '120']]"
2021-01-22 06:55:00.957821+00:00,Teoría de Integración,1,MAT253I,14892,"[['Vacantes libres', '0', '0', '0'], ['Ingeniería', '25', '0', '25']]"
2021-01-22 06:55:00.996439+00:00,Bioquímica y Genética Molecular,1,BIO228C,12812,"[['Vacantes libres', '0', '0', '0'], ['Pedagogía en Educación Media en Ciencias Naturales y Biología', '30', '0', '30'], ['Biologia Marina', '25', '0', '25'], ['Ciencias Biologicas', '50', '0', '50'], ['Ingeniería', '20', '0', '20'], ['Lic. Generales (College)', '5', '0', '5']]"
2021-01-22 06:55:01.029946+00:00,Modelos Estocásticos,1,ICS2123,16515,"[['Vacantes libres', '0', '0', '0'], ['Ingeniería', '160', '0', '160'], ['Lic. Generales (College)', '20', '0', '20']]"
2021-01-22 06:55:01.065275+00:00,Modelos Estocásticos,2,ICS2123,14634,"[['Vacantes libres', '0', '0', '0'], ['Ingeniería', '80', '0', '80'], ['Lic. Generales (College)', '10', '0', '10']]"
2021-01-22 06:55:01.097309+00:00,Modelos Estocásticos,3,ICS2123,16514,"[['Vacantes libres', '0', '0', '0'], ['Ingeniería', '110', '0', '110'], ['Lic. Generales (College)', '15', '0', '15']]"
2021-01-22 06:55:01.375574+00:00,El Padrenuestro: la Oracion que Jesus Enseno,1,TTF039,20857,"[['Vacantes libres', '60', '0', '60']]"
2021-01-22 06:55:01.728025+00:00,El Padrenuestro: la Oracion que Jesus Enseno,2,TTF039,23788,"[['Vacantes libres', '60', '3', '57']]"
2021-01-22 06:55:01.930933+00:00,Doctrina Social de la Iglesia,1,TTF040,20848,"[['Vacantes libres', '60', '2', '58']]"
2021-01-22 06:55:02.235574+00:00,Doctrina Social de la Iglesia,2,TTF040,20849,"[['Vacantes libres', '60', '0', '60']]"
2021-01-22 06:55:02.265601+00:00,Doctrina Social de la Iglesia,3,TTF040,20881,"[['Vacantes libres', '0', '0', '0'], ['Educación', '205001-Formacion Pedagogica Para Licenciados', '60', '0', '60']]"
2021-01-22 06:55:02.292835+00:00,Electricidad y Magnetismo,1,FIS1533,19863,"[['Vacantes libres', '0', '0', '0'], ['Ingeniería', '90', '0', '90'], ['Lic. Generales (College)', '25', '0', '25']]"
2021-01-22 06:55:02.322064+00:00,Electricidad y Magnetismo,2,FIS1533,14950,"[['Vacantes libres', '0', '0', '0'], ['Ingeniería', '90', '0', '90'], ['Lic. Generales (College)', '25', '0', '25']]"
2021-01-22 06:55:02.349551+00:00,Electricidad y Magnetismo,3,FIS1533,14500,"[['Vacantes libres', '0', '0', '0'], ['Ingeniería', '90', '0', '90'], ['Lic. Generales (College)', '25', '0', '25']]"
2021-01-22 06:55:02.561165+00:00,Electricidad y Magnetismo,4,FIS1533,14509,"[['Vacantes libres', '0', '0', '0'], ['Ingeniería', '90', '0', '90'], ['Lic. Generales (College)', '25', '0', '25']]"
2021-01-22 06:55:02.593473+00:00,Programación Avanzada,1,IIC2233,10760,"[['Vacantes libres', '20', '0', '20'], ['Ingeniería', '90', '0', '90']]"
2021-01-22 06:55:02.623012+00:00,Programación Avanzada,2,IIC2233,10754,"[['Vacantes libres', '10', '0', '10'], ['Ingeniería', '90', '0', '90'], ['Matemática', '10', '0', '10']]"
2021-01-22 06:55:02.654602+00:00,Programación Avanzada,3,IIC2233,18284,"[['Vacantes libres', '20', '0', '20'], ['Ingeniería', '90', '0', '90']]"
2021-01-22 06:55:02.683526+00:00,Programación Avanzada,4,IIC2233,22154,"[['Vacantes libres', '20', '0', '20'], ['Ingeniería', '90', '0', '90']]"
2021-01-22 06:55:02.719650+00:00,Análisis Químico y Bioquímico en los Peritajes Forenses,1,QIM512,25255,"[['Vacantes libres', '0', '0', '0'], ['Química', '40', '0', '40'], ['Ciencias Biológicas', '10', '0', '10']]"
2021-01-22 06:55:02.755268+00:00,Computación: Ciencia y Tecnología del Mundo Digital,1,IIC1005,10626,"[['Vacantes libres', '17', '0', '17'], ['Provisional Convenio PUC', '3', '0', '3'], ['Ingeniería', '120', '0', '120']]"
2021-01-22 06:55:02.789558+00:00,Probabilidades y Estadística,1,EYP1113,10541,"[['Vacantes libres', '0', '0', '0'], ['Ingeniería', '100', '0', '100'], ['Lic. Generales (College)', '25', '0', '25'], ['Actividades Universitarias', '1', '0', '1']]"
2021-01-22 06:55:02.825951+00:00,Probabilidades y Estadística,2,EYP1113,10527,"[['Vacantes libres', '0', '0', '0'], ['Ingeniería', '100', '0', '100'], ['Lic. Generales (College)', '25', '0', '25'], ['Actividades Universitarias', '1', '0', '1']]"
2021-01-22 06:55:02.854259+00:00,Probabilidades y Estadística,3,EYP1113,10514,"[['Vacantes libres', '0', '0', '0'], ['Ingeniería', '100', '1', '99'], ['Lic. Generales (College)', '25', '0', '25'], ['Actividades Universitarias', '1', '0', '1']]"
2021-01-22 06:55:02.887540+00:00,Probabilidades y Estadística,4,EYP1113,10500,"[['Vacantes libres', '0', '0', '0'], ['Ingeniería', '100', '0', '100'], ['Lic. Generales (College)', '25', '0', '25'], ['Actividades Universitarias', '1', '0', '1']]"
2021-01-22 06:55:02.919687+00:00,Ecuaciones Diferenciales,1,MAT1640,14883,"[['Vacantes libres', '1', '0', '1'], ['Ingeniería', '119', '0', '119'], ['Lic. Generales (College)', '30', '0', '30'], ['Educación', '15', '0', '15'], ['Actividades Universitarias', '1', '0', '1']]"
2021-01-22 06:55:02.954825+00:00,Ecuaciones Diferenciales,2,MAT1640,14959,"[['Vacantes libres', '1', '0', '1'], ['Ingeniería', '134', '0', '134'], ['Lic. Generales (College)', '30', '0', '30'], ['Actividades Universitarias', '1', '0', '1']]"
2021-01-22 06:55:02.982538+00:00,Ecuaciones Diferenciales,3,MAT1640,14888,"[['Vacantes libres', '1', '0', '1'], ['Ingeniería', '134', '0', '134'], ['Lic. Generales (College)', '30', '0', '30'], ['Actividades Universitarias', '1', '0', '1']]"
2021-01-22 06:55:03.011611+00:00,Ecuaciones Diferenciales,4,MAT1640,14851,"[['Vacantes libres', '1', '0', '1'], ['Astrofísica', '15', '0', '15'], ['Física', '15', '0', '15'], ['Ingeniería', '134', '0', '134'], ['Actividades Universitarias', '1', '0', '1']]"
2021-01-22 06:55:03.045558+00:00,Ecuaciones Diferenciales,5,MAT1640,14958,"[['Vacantes libres', '1', '0', '1'], ['Astrofísica', '15', '0', '15'], ['Física', '15', '0', '15'], ['Ingeniería', '134', '0', '134'], ['Actividades Universitarias', '1', '0', '1']]"
2021-01-22 06:55:03.268233+00:00,Liderazgo: Juegos y Recreación I,1,DPT9030,12874,"[['Vacantes libres', '30', '0', '30']]"
2021-01-22 06:55:03.508226+00:00,Liderazgo: Juegos y Recreación I,3,DPT9030,19010,"[['Vacantes libres', '30', '0', '30']]"
2021-01-22 06:55:03.887133+00:00,Liderazgo: Juegos y Recreación I,4,DPT9030,19011,"[['Vacantes libres', '40', '0', '40']]"
2021-01-22 06:55:04.193156+00:00,Estática,1,ICE2006,22841,"[['Vacantes libres', '120', '0', '120']]"
2021-01-22 06:55:04.229034+00:00,Desafíos Sociales Contemporáneos,1,SOL227,25065,"[['Vacantes libres', '90', '0', '90'], ['Actividades Universitarias', '5', '0', '5']]"
2021-01-22 06:55:04.265601+00:00,Design Bootcamp: Herramientas y Métodos Prácticos para Innovar,1,DNO048,12072,"[['Vacantes libres', '15', '0', '15'], ['Ingeniería', '3', '0', '3'], ['Lic. Generales (College)', '5', '0', '5'], ['Diseño', '12', '0', '12'], ['Actividades Universitarias', '2', '0', '2']]"
2021-01-22 06:55:04.301186+00:00,Introduccion a la Tipografia,1,DNO002,11616,"[['Vacantes libres', '6', '0', '6'], ['Lic. Generales (College)', '2', '0', '2'], ['Diseño', '23', '0', '23'], ['Actividades Universitarias', '2', '0', '2']]"
2021-01-22 06:55:04.337382+00:00,El Mundo de los Medicamentos,1,QIF117,12172,"[['Vacantes libres', '0', '0', '0'], ['Quimica Y Farmacia', '10', '0', '10'], ['Química', 'Per 202120 Quimica Y Farmacia', '202120', '105', '1', '104']]"
2021-01-22 06:55:04.383655+00:00,El Mundo de los Medicamentos,2,QIF117,12179,"[['Vacantes libres', '0', '0', '0'], ['Vacantes libres', 'M028-Major en Ciencias Farmacéuticas', '3', '0', '3'], ['Pedagogia General Basica', '15', '0', '15'], ['Pedagogía en Educación Media en Química', '5', '1', '4'], ['Educación', 'Per 202120 Pedagogía en Educación Media en Química', '202120', '20', '0', '20']]"
2021-01-22 06:55:04.421260+00:00,Introducción al Diseño de Servicios,1,DNO053,15178,"[['Vacantes libres', '8', '0', '8'], ['Diseño', '22', '0', '22'], ['Diseño', 'Magister', '2', '0', '2'], ['Actividades Universitarias', '000312-Provisional Convenio PUC-DUOC UC', '2', '0', '2'], ['Actividades Universitarias', '2', '0', '2']]"
2021-01-22 06:55:04.453717+00:00,Sustentabilidad Corporativa y Relación Con las Comunidades,1,DER102E,25388,"[['Vacantes libres', '57', '0', '57'], ['Actividades Universitarias', '3', '0', '3']]"
2021-01-22 06:55:04.486382+00:00,Historia de Género en Chile,1,IHI2323,17351,"[['Vacantes libres', '40', '0', '40'], ['Lic. Generales (College)', '5', '0', '5'], ['Psicología', '2', '0', '2'], ['Historia', '20', '0', '20'], ['Actividades Universitarias', '3', '0', '3']]"
